Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,B,B,B,A,A,C,C,D,C,E,B,C,E,A
5,A,B,B,D,C,C,C,A,C,E,B,C,,
6,-,B,B,A,C,C,D,,C,,,,,
7,A,B,B,A,C,C,C,D,C,E,B,,,
8,A,B,B,A,C,C,E,D,C,E,B,C,E,A
9,B,B,B,A,C,D,B,D,C,E,B,B,E,A
10,A,B,B,A,C,C,C,D,C,E,B,C,E,A
11,B,B,B,A,C,C,C,A,C,E,B,C,A,A
12,A,B,B,A,C,C,C,D,C,D,B,E,,
13,A,B,B,A,C,C,C,D,C,E,B,B,E,A
21,A,B,B,A,C,C,C,D,C,E,B,C,E,
22,A,B,B,A,C,C,C,D,C,E,B,C,E,A
23,A,B,B,A,C,B,C,D,C,E,B,C,,
24,A,B,B,A,C,D,C,D,C,E,B,E,E,A
25,A,B,B,A,C,C,C,D,C,D,B,C,E,B
31,A,B,B,A,C,C,C,D,C,E,B,,,
32,B,B,B,A,C,C,C,D,C,E,B,C,E,A
41,A,B,B,A,C,D,A,D,C,E,B,C,E,A
42,A,B,B,A,C,C,D,D,C,E,,,,
45,B,B,B,A,C,C,C,D,C,,,,,
46,E,A,B,A,C,C,B,D,C,E,B,C,E,A
47,A,B,B,A,C,C,C,D,C,E,B,,,
51,A,B,B,A,C,C,C,D,C,E,B,C,E,A
52,A,B,B,A,C,C,E,D,C,E,B,C,E,A
54,A,B,B,A,C,C,C,D,C,E,,,,
53,A,B,B,C,A,D,D,D,C,D,A,C,,
55,A,B,B,A,C,A,D,D,C,E,B,C,E,A
57,A,B,B,D,C,C,C,D,C,E,B,C,E,A
58,B,B,B,A,C,C,C,D,C,E,B,E,E,A
59,D,B,B,A,C,C,D,D,C,E,B,C,E,A
60,A,B,B,A,C,C,C,D,C,E,B,B,E,A
62,E,A,C,D,A,B,E,D,C,B,C,A,A,A
63,A,B,B,A,C,C,C,D,C,E,B,C,E,
61,A,B,B,A,C,C,C,D,C,E,B,,,
70,A,B,B,A,C,B,C,D,C,,,,,
71,B,B,B,A,C,C,C,D,C,E,B,C,,
77,A,B,B,A,C,C,C,D,C,E,B,,,
78,A,B,B,A,C,C,C,D,C,E,B,C,E,A
75,A,B,B,A,C,C,C,D,C,E,B,C,E,A
72,A,B,B,A,A,,,,C,D,B,C,B,A
153,A,B,B,A,C,C,C,D,C,E,B,C,E,A
152,A,B,B,A,C,C,C,D,C,E,B,B,E,A
150,A,B,B,A,C,C,C,D,C,E,B,C,E,A
144,A,B,B,A,C,C,C,D,C,E,B,C,E,A
143,C,B,B,A,D,C,B,D,C,B,B,C,E,
142,A,B,B,A,C,C,D,D,C,E,B,A,E,A
141,A,B,B,A,C,C,C,D,C,E,B,,,
140,A,B,B,A,C,D,C,D,A,D,B,C,E,A
136,A,B,B,A,C,C,E,D,C,E,B,C,E,
135,A,B,B,A,C,C,C,D,C,E,B,C,E,A
134,A,B,B,A,C,C,C,D,C,E,B,E,E,
133,A,B,B,A,C,C,C,D,C,E,B,C,E,A
132,A,B,B,A,C,C,C,D,C,E,B,C,E,A
131,A,B,B,A,C,C,C,D,C,E,B,C,E,A
130,A,B,B,A,C,C,C,D,C,E,B,C,E,A
125,A,B,B,A,C,C,C,D,C,E,B,C,E,A
124,A,C,B,A,C,,D,D,C,E,B,C,E,A
123,A,B,B,A,C,C,C,D,C,E,B,C,E,A
122,A,C,B,A,C,C,C,D,C,E,B,C,E,A
121,A,B,B,A,C,C,D,D,C,D,D,,,
120,A,B,B,A,C,C,C,D,,,,,,
95,B,C,B,A,C,C,C,D,C,E,B,B,E,A
94,A,B,B,A,C,C,C,D,C,E,B,C,E,A
91,E,B,B,A,C,C,C,D,C,E,B,C,,
89,A,B,B,A,C,C,C,D,C,E,B,C,E,A
87,A,B,B,A,C,C,C,D,C,E,B,,E,A
86,A,B,B,A,C,C,C,D,C,E,B,,,
85,C,B,B,A,C,C,A,D,C,E,B,C,E,A
80,A,B,B,A,C,C,A,D,C,E,B,C,E,A
79,A,B,B,A,C,C,C,D,C,E,B,C,E,A
76,D,B,B,A,C,D,B,D,C,E,,,,
73,A,B,B,A,C,C,D,D,C,E,B,,,
115,B,C,B,A,C,A,C,A,C,E,B,C,,
