Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,C,A
5,A,A,C,A,A,D,A,B,B,B,,B,D,B,,,,
6,A,B,,A,A,D,A,B,B,B,,A,,,,,,
7,A,B,C,A,A,D,A,B,C,B,D,,,,,,,
8,A,B,C,A,A,D,A,B,B,B,A,D,A,C,D,B,C,A
9,A,B,C,A,A,D,A,B,B,B,,,,,,,,
10,A,B,C,A,A,D,A,A,B,B,A,A,D,B,D,,C,D
11,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,,,
12,A,A,,A,B,D,A,B,,B,D,,C,C,B,,,D
13,A,B,C,A,A,D,A,B,B,B,D,B,D,B,D,,A,
21,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,C,A
22,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,C,A
23,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,C,A
24,A,B,C,A,A,D,A,B,B,B,B,B,D,B,D,,,
25,A,B,A,A,A,D,A,B,B,B,A,D,D,B,,,,
31,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,A,C,A
32,A,B,C,A,A,D,D,B,B,B,,B,D,B,A,,,
41,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,,,
42,A,B,,A,A,D,A,B,B,B,A,B,D,,,,,
45,A,B,C,A,A,D,A,B,B,B,D,D,C,B,D,B,,
46,A,B,C,A,A,D,A,B,B,B,,B,D,B,,,,
47,A,B,C,A,A,D,A,B,B,B,B,B,D,B,D,,,
51,A,B,C,A,A,D,A,B,B,B,A,C,D,B,,,B,
52,A,B,C,A,A,D,C,B,B,B,A,D,D,B,D,B,C,A
54,A,B,A,A,A,D,A,B,B,B,A,B,D,B,D,D,,
53,D,B,C,C,A,C,C,D,A,D,C,C,C,D,B,D,D,A
55,A,B,C,A,A,D,A,B,B,B,D,B,D,B,D,,,
57,A,C,C,A,A,D,A,B,B,B,A,B,D,B,C,B,C,D
58,A,B,C,A,A,D,A,B,A,B,,,,C,,B,,
59,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,B,A
60,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,C,A
62,A,B,A,A,A,D,D,D,A,A,A,A,C,A,B,A,D,D
63,A,B,C,D,D,C,A,B,A,A,A,A,B,B,C,,,
61,A,B,C,A,A,D,A,B,B,B,A,D,D,B,,,,
70,A,B,C,A,A,D,A,C,B,B,A,B,D,B,D,,,
71,A,B,C,B,A,D,A,B,B,B,A,A,D,B,A,D,C,D
77,A,B,,A,A,D,,,B,B,,D,D,B,,,,
78,A,B,C,A,A,D,A,B,B,B,C,A,D,C,B,D,C,B
75,A,B,,A,A,D,B,,C,C,,,D,B,,,,
72,A,B,B,B,A,D,B,B,,B,,D,D,A,B,B,C,B
73,A,B,C,B,B,D,B,C,B,B,D,A,C,B,A,A,A,D
76,A,B,C,A,A,D,B,B,B,B,A,B,D,B,D,,,
79,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,,,
80,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,B,B
85,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,B,A
86,A,B,C,A,A,D,,B,B,B,,D,D,B,D,,,
87,A,B,C,A,A,D,B,B,B,B,,A,C,B,D,B,B,
89,A,B,C,A,A,D,A,B,C,B,A,D,D,B,B,,A,D
91,A,B,C,A,A,D,D,B,C,C,,D,D,B,D,,,
94,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,C,A
95,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,A,C,A
120,A,B,C,A,A,D,A,B,B,B,A,B,D,B,,,,
121,A,B,C,A,A,A,A,B,B,B,D,D,D,B,A,B,,
122,A,B,C,A,A,D,A,B,B,B,C,D,A,B,D,B,A,
123,A,B,C,A,A,D,,B,B,B,A,B,D,B,D,B,D,A
124,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,B,A
125,A,B,C,A,A,D,A,B,B,B,A,D,D,,,,,
130,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,C,A
131,A,B,C,A,A,D,A,B,B,B,A,D,A,B,D,B,C,A
132,A,B,C,A,A,D,A,B,B,B,A,B,D,C,D,B,A,
133,A,B,C,B,A,D,A,B,B,B,A,D,C,B,D,B,C,A
134,A,B,A,A,A,D,B,B,B,B,A,D,,,,,,
135,A,B,C,B,A,D,A,B,B,B,D,B,D,B,C,,,
136,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,A,,
140,A,B,C,A,A,D,A,B,B,B,A,A,D,B,D,,,
141,A,B,D,A,B,D,A,C,B,B,A,A,D,C,,,,
142,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,B,,
143,A,B,C,A,A,D,A,B,B,B,A,D,D,B,D,,,
144,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,,A,A
150,A,B,C,A,A,D,A,B,B,B,B,D,D,B,B,,A,D
152,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,C,A
153,A,B,C,A,A,D,A,B,B,B,A,B,D,B,D,B,C,A
115,A,B,C,A,A,D,A,B,B,B,,D,D,B,D,B,C,A
