Subject,IQ_spacerel.csv
4,18
5,11
6,9
7,9
8,16
9,10
10,14
11,15
12,6
13,13
21,17
22,18
23,17
24,13
25,13
31,16
32,11
41,15
42,11
45,14
46,12
47,13
51,13
52,17
54,13
53,4
55,13
57,14
58,10
59,16
60,18
62,6
63,7
61,14
70,13
71,13
77,10
78,12
75,7
72,10
73,7
76,13
79,14
80,15
85,17
86,13
87,12
89,13
91,11
94,17
95,16
120,13
121,13
122,14
123,15
124,16
125,13
130,18
131,17
132,14
133,16
134,10
135,11
136,15
140,14
141,9
142,16
143,15
144,15
150,13
152,17
153,17
115,17
