Subject,IQ_surfdev.csv
4,25
5,20
6,10
7,24
8,25
9,19
10,25
11,17
12,6
13,22
21,24
22,23
23,24
24,19
25,12
31,19
32,21
41,25
42,14
45,18
46,10
47,22
51,25
52,25
54,23
53,10
55,21
57,12
58,17
59,21
60,25
62,11
63,13
61,19
70,20
71,20
77,18
78,20
75,18
72,10
153,24
152,25
150,24
144,25
143,25
142,25
141,20
140,19
136,20
135,20
134,20
133,25
132,22
131,25
130,25
125,19
124,25
123,19
122,21
121,23
120,15
95,24
94,25
91,9
89,24
87,10
86,21
85,25
80,24
79,25
76,25
73,13
115,21
